Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031199,2001,01,25,38.0,1,N
IDCJAC0009,031199,2001,01,26,0.0,1,N
IDCJAC0009,031199,2001,01,27,0.0,1,N
IDCJAC0009,031199,2001,01,28,0.0,1,N
IDCJAC0009,031199,2001,01,29,0.0,1,N
IDCJAC0009,031199,2001,01,30,0.0,1,N
IDCJAC0009,031199,2001,01,31,0.0,1,N
IDCJAC0009,031199,2001,02,01,0.0,1,N
IDCJAC0009,031199,2001,02,02,0.0,1,N
IDCJAC0009,031199,2001,02,03,30.0,1,N
IDCJAC0009,031199,2001,02,04,0.0,1,N
IDCJAC0009,031199,2001,02,05,12.0,1,N
IDCJAC0009,031199,2001,02,06,78.0,1,N
IDCJAC0009,031199,2001,02,07,36.0,1,N
IDCJAC0009,031199,2001,02,08,46.0,1,N
IDCJAC0009,031199,2001,02,09,24.0,1,N
IDCJAC0009,031199,2001,02,10,34.0,1,N
IDCJAC0009,031199,2001,02,11,4.0,1,N
IDCJAC0009,031199,2001,02,12,6.0,1,N
IDCJAC0009,031199,2001,02,13,16.0,1,N
IDCJAC0009,031199,2001,02,14,52.0,1,N
IDCJAC0009,031199,2001,02,15,52.0,1,N
IDCJAC0009,031199,2001,02,16,32.0,1,N
IDCJAC0009,031199,2001,02,17,74.0,1,N
IDCJAC0009,031199,2001,02,18,100.0,1,N
IDCJAC0009,031199,2001,02,19,46.0,1,N
IDCJAC0009,031199,2001,02,20,14.0,1,N
IDCJAC0009,031199,2001,02,21,4.0,1,N
IDCJAC0009,031199,2001,02,22,2.0,1,N
IDCJAC0009,031199,2001,02,23,6.0,1,N
IDCJAC0009,031199,2001,02,24,78.0,1,N
IDCJAC0009,031199,2001,02,25,36.0,1,N
IDCJAC0009,031199,2001,02,26,22.0,1,N
IDCJAC0009,031199,2001,02,27,10.0,1,N
IDCJAC0009,031199,2001,02,28,6.0,1,N
IDCJAC0009,031199,2001,03,01,16.0,1,N
IDCJAC0009,031199,2001,03,02,0.0,1,N
IDCJAC0009,031199,2001,03,03,0.0,1,N
IDCJAC0009,031199,2001,03,04,10.0,1,N
IDCJAC0009,031199,2001,03,05,18.0,1,N
IDCJAC0009,031199,2001,03,06,2.0,1,N
IDCJAC0009,031199,2001,03,07,0.0,1,N
IDCJAC0009,031199,2001,03,08,0.0,1,N
IDCJAC0009,031199,2001,03,09,0.0,1,N
IDCJAC0009,031199,2001,03,10,0.0,1,N
